Game_Number,Winner,Starting_Player,Piece_Difference,King_Difference,Move_Count,Captures_Red,Captures_Blue,Promotions_Red,Promotions_Blue,Outcome_Description
1,RED,BLUE,7,1,90,20,13,1,0,"RED won with 7 more pieces and 1 more king after 90 moves, capturing 20 pieces and promoting 1 pawn"
2,RED,RED,13,1,67,20,7,1,0,"RED won with 13 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
3,RED,BLUE,16,3,48,20,4,3,0,"RED won with 16 more pieces and 3 more kings after 48 moves, capturing 20 pieces and promoting 3 pawns"
4,RED,RED,9,2,75,20,11,2,0,"RED won with 9 more pieces and 2 more kings after 75 moves, capturing 20 pieces and promoting 2 pawns"
5,RED,BLUE,9,1,90,20,11,1,0,"RED won with 9 more pieces and 1 more king after 90 moves, capturing 20 pieces and promoting 1 pawn"
6,RED,RED,11,1,82,19,8,1,0,"RED won with 11 more pieces and 1 more king after 82 moves, capturing 19 pieces and promoting 1 pawn"
7,RED,BLUE,11,1,86,20,9,1,0,"RED won with 11 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
8,RED,RED,13,1,75,20,7,1,0,"RED won with 13 more pieces and 1 more king after 75 moves, capturing 20 pieces and promoting 1 pawn"
9,RED,BLUE,9,1,74,20,11,1,0,"RED won with 9 more pieces and 1 more king after 74 moves, capturing 20 pieces and promoting 1 pawn"
10,RED,RED,11,1,65,18,7,1,0,"RED won with 11 more pieces and 1 more king after 65 moves, capturing 18 pieces and promoting 1 pawn"
11,RED,BLUE,11,2,82,20,9,2,0,"RED won with 11 more pieces and 2 more kings after 82 moves, capturing 20 pieces and promoting 2 pawns"
12,RED,RED,11,1,87,20,9,1,1,"RED won with 11 more pieces and 1 more king after 87 moves, capturing 20 pieces and promoting 1 pawn"
13,RED,BLUE,13,2,74,20,7,2,0,"RED won with 13 more pieces and 2 more kings after 74 moves, capturing 20 pieces and promoting 2 pawns"
14,RED,RED,9,1,77,20,11,1,0,"RED won with 9 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
15,RED,BLUE,1,1,110,20,19,1,1,"RED won with 1 more piece and 1 more king after 110 moves, capturing 20 pieces and promoting 1 pawn"
16,RED,RED,9,1,67,20,11,1,0,"RED won with 9 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
17,RED,BLUE,13,1,74,20,7,1,0,"RED won with 13 more pieces and 1 more king after 74 moves, capturing 20 pieces and promoting 1 pawn"
18,RED,RED,7,1,111,20,13,1,0,"RED won with 7 more pieces and 1 more king after 111 moves, capturing 20 pieces and promoting 1 pawn"
19,RED,BLUE,9,1,86,20,11,1,0,"RED won with 9 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
20,RED,RED,12,1,77,20,8,1,0,"RED won with 12 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
21,RED,BLUE,10,1,81,19,9,1,0,"RED won with 10 more pieces and 1 more king after 81 moves, capturing 19 pieces and promoting 1 pawn"
22,RED,RED,5,1,93,20,15,1,0,"RED won with 5 more pieces and 1 more king after 93 moves, capturing 20 pieces and promoting 1 pawn"
23,RED,BLUE,9,1,72,20,11,1,0,"RED won with 9 more pieces and 1 more king after 72 moves, capturing 20 pieces and promoting 1 pawn"
24,RED,RED,12,1,77,20,8,1,0,"RED won with 12 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
25,RED,BLUE,10,1,72,19,9,1,0,"RED won with 10 more pieces and 1 more king after 72 moves, capturing 19 pieces and promoting 1 pawn"
26,RED,RED,4,1,103,20,16,1,0,"RED won with 4 more pieces and 1 more king after 103 moves, capturing 20 pieces and promoting 1 pawn"
27,RED,BLUE,6,1,78,20,14,1,0,"RED won with 6 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
28,RED,RED,10,1,71,20,10,1,0,"RED won with 10 more pieces and 1 more king after 71 moves, capturing 20 pieces and promoting 1 pawn"
29,RED,BLUE,15,1,72,20,5,1,0,"RED won with 15 more pieces and 1 more king after 72 moves, capturing 20 pieces and promoting 1 pawn"
30,RED,RED,11,1,83,20,9,1,0,"RED won with 11 more pieces and 1 more king after 83 moves, capturing 20 pieces and promoting 1 pawn"
31,RED,BLUE,6,0,84,20,14,0,0,"RED won with 6 more pieces and 0 more kings after 84 moves, capturing 20 pieces and promoting 0 pawns"
32,RED,RED,13,1,63,20,7,1,0,"RED won with 13 more pieces and 1 more king after 63 moves, capturing 20 pieces and promoting 1 pawn"
33,RED,BLUE,12,1,78,20,8,1,0,"RED won with 12 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
34,RED,RED,11,1,85,20,9,1,0,"RED won with 11 more pieces and 1 more king after 85 moves, capturing 20 pieces and promoting 1 pawn"
35,RED,BLUE,11,0,76,20,9,0,0,"RED won with 11 more pieces and 0 more kings after 76 moves, capturing 20 pieces and promoting 0 pawns"
36,RED,RED,10,1,79,20,10,1,0,"RED won with 10 more pieces and 1 more king after 79 moves, capturing 20 pieces and promoting 1 pawn"
37,RED,BLUE,15,1,60,20,5,1,0,"RED won with 15 more pieces and 1 more king after 60 moves, capturing 20 pieces and promoting 1 pawn"
38,RED,RED,16,1,61,19,3,1,0,"RED won with 16 more pieces and 1 more king after 61 moves, capturing 19 pieces and promoting 1 pawn"
39,RED,BLUE,11,1,68,19,8,1,0,"RED won with 11 more pieces and 1 more king after 68 moves, capturing 19 pieces and promoting 1 pawn"
40,RED,RED,9,1,77,20,11,1,0,"RED won with 9 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
41,RED,BLUE,6,1,94,20,14,1,0,"RED won with 6 more pieces and 1 more king after 94 moves, capturing 20 pieces and promoting 1 pawn"
42,RED,RED,13,1,69,20,7,1,0,"RED won with 13 more pieces and 1 more king after 69 moves, capturing 20 pieces and promoting 1 pawn"
43,RED,BLUE,12,1,68,20,8,1,0,"RED won with 12 more pieces and 1 more king after 68 moves, capturing 20 pieces and promoting 1 pawn"
44,RED,RED,8,1,89,20,12,1,0,"RED won with 8 more pieces and 1 more king after 89 moves, capturing 20 pieces and promoting 1 pawn"
45,RED,BLUE,7,1,82,20,13,1,0,"RED won with 7 more pieces and 1 more king after 82 moves, capturing 20 pieces and promoting 1 pawn"
46,RED,RED,8,2,101,20,12,2,0,"RED won with 8 more pieces and 2 more kings after 101 moves, capturing 20 pieces and promoting 2 pawns"
47,RED,BLUE,10,1,98,20,10,1,0,"RED won with 10 more pieces and 1 more king after 98 moves, capturing 20 pieces and promoting 1 pawn"
48,RED,RED,12,1,61,19,7,1,0,"RED won with 12 more pieces and 1 more king after 61 moves, capturing 19 pieces and promoting 1 pawn"
49,RED,BLUE,11,1,80,20,9,1,0,"RED won with 11 more pieces and 1 more king after 80 moves, capturing 20 pieces and promoting 1 pawn"
50,RED,RED,2,1,101,20,18,1,0,"RED won with 2 more pieces and 1 more king after 101 moves, capturing 20 pieces and promoting 1 pawn"
51,RED,BLUE,13,2,71,18,5,2,0,"RED won with 13 more pieces and 2 more kings after 71 moves, capturing 18 pieces and promoting 2 pawns"
52,RED,RED,11,1,74,19,8,1,0,"RED won with 11 more pieces and 1 more king after 74 moves, capturing 19 pieces and promoting 1 pawn"
53,RED,BLUE,9,0,86,20,11,0,0,"RED won with 9 more pieces and 0 more kings after 86 moves, capturing 20 pieces and promoting 0 pawns"
54,RED,RED,10,1,75,19,9,1,0,"RED won with 10 more pieces and 1 more king after 75 moves, capturing 19 pieces and promoting 1 pawn"
55,RED,BLUE,15,2,64,20,5,2,0,"RED won with 15 more pieces and 2 more kings after 64 moves, capturing 20 pieces and promoting 2 pawns"
56,RED,RED,11,1,71,20,9,1,0,"RED won with 11 more pieces and 1 more king after 71 moves, capturing 20 pieces and promoting 1 pawn"
57,RED,BLUE,12,2,70,20,8,2,0,"RED won with 12 more pieces and 2 more kings after 70 moves, capturing 20 pieces and promoting 2 pawns"
58,RED,RED,13,2,71,20,7,2,0,"RED won with 13 more pieces and 2 more kings after 71 moves, capturing 20 pieces and promoting 2 pawns"
59,RED,BLUE,13,1,68,20,7,1,0,"RED won with 13 more pieces and 1 more king after 68 moves, capturing 20 pieces and promoting 1 pawn"
60,RED,RED,5,2,93,19,14,2,1,"RED won with 5 more pieces and 2 more kings after 93 moves, capturing 19 pieces and promoting 2 pawns"
61,RED,BLUE,14,1,70,20,6,1,0,"RED won with 14 more pieces and 1 more king after 70 moves, capturing 20 pieces and promoting 1 pawn"
62,RED,RED,16,2,55,20,4,2,0,"RED won with 16 more pieces and 2 more kings after 55 moves, capturing 20 pieces and promoting 2 pawns"
63,RED,BLUE,9,0,84,20,11,0,0,"RED won with 9 more pieces and 0 more kings after 84 moves, capturing 20 pieces and promoting 0 pawns"
64,RED,RED,9,1,93,20,11,1,0,"RED won with 9 more pieces and 1 more king after 93 moves, capturing 20 pieces and promoting 1 pawn"
65,RED,BLUE,14,1,72,20,6,1,0,"RED won with 14 more pieces and 1 more king after 72 moves, capturing 20 pieces and promoting 1 pawn"
66,RED,RED,15,2,61,20,5,2,0,"RED won with 15 more pieces and 2 more kings after 61 moves, capturing 20 pieces and promoting 2 pawns"
67,RED,BLUE,12,1,80,20,8,1,0,"RED won with 12 more pieces and 1 more king after 80 moves, capturing 20 pieces and promoting 1 pawn"
68,RED,RED,7,1,87,20,13,1,0,"RED won with 7 more pieces and 1 more king after 87 moves, capturing 20 pieces and promoting 1 pawn"
69,RED,BLUE,10,1,86,20,10,1,0,"RED won with 10 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
70,RED,RED,13,2,69,20,7,2,0,"RED won with 13 more pieces and 2 more kings after 69 moves, capturing 20 pieces and promoting 2 pawns"
71,RED,BLUE,13,1,56,20,7,1,0,"RED won with 13 more pieces and 1 more king after 56 moves, capturing 20 pieces and promoting 1 pawn"
72,RED,RED,9,0,85,20,11,0,0,"RED won with 9 more pieces and 0 more kings after 85 moves, capturing 20 pieces and promoting 0 pawns"
73,RED,BLUE,11,2,80,20,9,2,0,"RED won with 11 more pieces and 2 more kings after 80 moves, capturing 20 pieces and promoting 2 pawns"
74,RED,RED,14,1,67,20,6,1,0,"RED won with 14 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
75,RED,BLUE,13,1,86,20,7,1,0,"RED won with 13 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
76,RED,RED,5,1,103,20,15,1,0,"RED won with 5 more pieces and 1 more king after 103 moves, capturing 20 pieces and promoting 1 pawn"
77,RED,BLUE,9,1,84,20,11,1,0,"RED won with 9 more pieces and 1 more king after 84 moves, capturing 20 pieces and promoting 1 pawn"
78,RED,RED,11,1,57,19,8,1,0,"RED won with 11 more pieces and 1 more king after 57 moves, capturing 19 pieces and promoting 1 pawn"
79,RED,BLUE,10,1,78,20,10,1,0,"RED won with 10 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
80,RED,RED,6,1,89,20,14,1,0,"RED won with 6 more pieces and 1 more king after 89 moves, capturing 20 pieces and promoting 1 pawn"
81,RED,BLUE,8,1,68,18,10,1,0,"RED won with 8 more pieces and 1 more king after 68 moves, capturing 18 pieces and promoting 1 pawn"
82,RED,RED,5,1,91,20,15,1,0,"RED won with 5 more pieces and 1 more king after 91 moves, capturing 20 pieces and promoting 1 pawn"
83,RED,BLUE,10,2,68,20,10,2,0,"RED won with 10 more pieces and 2 more kings after 68 moves, capturing 20 pieces and promoting 2 pawns"
84,RED,RED,8,0,77,20,12,0,0,"RED won with 8 more pieces and 0 more kings after 77 moves, capturing 20 pieces and promoting 0 pawns"
85,RED,BLUE,15,2,70,20,5,2,0,"RED won with 15 more pieces and 2 more kings after 70 moves, capturing 20 pieces and promoting 2 pawns"
86,RED,RED,12,1,67,20,8,1,0,"RED won with 12 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
87,RED,BLUE,13,2,68,20,7,2,0,"RED won with 13 more pieces and 2 more kings after 68 moves, capturing 20 pieces and promoting 2 pawns"
88,RED,RED,15,1,65,20,5,1,0,"RED won with 15 more pieces and 1 more king after 65 moves, capturing 20 pieces and promoting 1 pawn"
89,RED,BLUE,9,1,78,20,11,1,0,"RED won with 9 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
90,RED,RED,9,1,89,20,11,1,0,"RED won with 9 more pieces and 1 more king after 89 moves, capturing 20 pieces and promoting 1 pawn"
91,RED,BLUE,11,0,68,20,9,0,0,"RED won with 11 more pieces and 0 more kings after 68 moves, capturing 20 pieces and promoting 0 pawns"
92,RED,RED,4,1,111,20,16,1,1,"RED won with 4 more pieces and 1 more king after 111 moves, capturing 20 pieces and promoting 1 pawn"
93,RED,BLUE,13,1,66,20,7,1,0,"RED won with 13 more pieces and 1 more king after 66 moves, capturing 20 pieces and promoting 1 pawn"
94,RED,RED,10,1,83,20,10,1,0,"RED won with 10 more pieces and 1 more king after 83 moves, capturing 20 pieces and promoting 1 pawn"
95,RED,BLUE,13,2,82,19,6,2,0,"RED won with 13 more pieces and 2 more kings after 82 moves, capturing 19 pieces and promoting 2 pawns"
96,RED,RED,7,1,89,20,13,1,0,"RED won with 7 more pieces and 1 more king after 89 moves, capturing 20 pieces and promoting 1 pawn"
97,RED,BLUE,12,1,78,20,8,1,0,"RED won with 12 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
98,RED,RED,1,1,127,20,19,1,2,"RED won with 1 more piece and 1 more king after 127 moves, capturing 20 pieces and promoting 1 pawn"
99,RED,BLUE,7,1,92,19,12,1,0,"RED won with 7 more pieces and 1 more king after 92 moves, capturing 19 pieces and promoting 1 pawn"
100,RED,RED,1,1,109,20,19,2,1,"RED won with 1 more piece and 1 more king after 109 moves, capturing 20 pieces and promoting 2 pawns"
